135.125.217.54 - - [23/Jan/2024:12:31:01 +0000] "POST / HTTP/1.1" 200 3979
135.125.246.189 - - [23/Jan/2024:12:32:25 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.189 - - [23/Jan/2024:12:32:26 +0000] "POST / HTTP/1.1" 200 3979
139.162.84.205 - - [23/Jan/2024:12:37:08 +0000] "GET / HTTP/1.0" 200 3979
23.94.107.14 - - [23/Jan/2024:12:48:54 +0000] "GET / HTTP/1.1" 200 3979
45.79.181.223 - - [23/Jan/2024:12:59:59 +0000] "-" 400 2203
157.230.4.200 - - [23/Jan/2024:13:15:48 +0000] "GET /.env HTTP/1.1" 404 755
35.177.128.236 - - [23/Jan/2024:13:24:31 +0000] "-" 400 2067
35.177.128.236 - - [23/Jan/2024:13:27:08 +0000] "-" 400 2049
185.254.196.173 - - [23/Jan/2024:13:33:06 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:13:33:07 +0000] "POST / HTTP/1.1" 200 3979
23.94.107.14 - - [23/Jan/2024:13:41:59 +0000] "GET / HTTP/1.1" 200 3979
185.180.143.48 - - [23/Jan/2024:13:51:54 +0000] "GET / HTTP/1.1" 200 3979
185.180.143.48 - - [23/Jan/2024:13:52:04 +0000] "GET /webfig/ HTTP/1.1" 404 762
185.180.143.48 - - [23/Jan/2024:13:52:15 +0000] "GET /login HTTP/1.1" 200 1244
65.49.1.91 - - [23/Jan/2024:13:57:56 +0000] "GET / HTTP/1.1" 200 3979
65.49.1.85 - - [23/Jan/2024:13:59:54 +0000] "GET /favicon.ico HTTP/1.1" 404 762
65.49.1.80 - - [23/Jan/2024:14:00:35 +0000] "GET /geoserver/web/ HTTP/1.1" 404 773
185.254.196.173 - - [23/Jan/2024:14:53:23 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:14:53:24 +0000] "POST / HTTP/1.1" 200 3979
135.125.217.54 - - [23/Jan/2024:14:56:08 +0000] "GET /.env HTTP/1.1" 404 755
135.125.217.54 - - [23/Jan/2024:14:56:09 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [23/Jan/2024:15:16:36 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:15:16:37 +0000] "POST / HTTP/1.1" 200 3979
91.92.252.45 - - [23/Jan/2024:16:15:17 +0000] "CONNECT google.com:443 HTTP/1.1" 501 724
185.254.196.173 - - [23/Jan/2024:16:24:39 +0000] "GET /.env HTTP/1.1" 404 755
