135.125.246.110 - - [06/Nov/2023:14:12:31 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [06/Nov/2023:14:12:31 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [06/Nov/2023:14:36:11 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Nov/2023:14:36:12 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [06/Nov/2023:14:48:48 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Nov/2023:14:48:49 +0000] "POST / HTTP/1.1" 200 3979
141.98.11.52 - - [06/Nov/2023:14:54:03 +0000] "GET / HTTP/1.1" 200 3979
104.236.128.26 - - [06/Nov/2023:15:08:00 +0000] "GET /actuator/health HTTP/1.1" 404 770
78.108.177.54 - - [06/Nov/2023:15:23:43 +0000] "GET / HTTP/1.0" 200 3979
43.154.141.71 - - [06/Nov/2023:15:36:07 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
135.125.246.110 - - [06/Nov/2023:15:57:16 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [06/Nov/2023:15:57:17 +0000] "POST / HTTP/1.1" 200 3979
172.162.233.26 - - [06/Nov/2023:16:11:17 +0000] "GET /.env HTTP/1.1" 404 755
172.162.233.26 - - [06/Nov/2023:16:11:17 +0000] "POST / HTTP/1.1" 200 3979
23.92.18.138 - - [06/Nov/2023:16:18:35 +0000] "-" 400 2223
185.254.196.173 - - [06/Nov/2023:16:37:11 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Nov/2023:16:37:11 +0000] "POST / HTTP/1.1" 200 3979
139.162.84.205 - - [06/Nov/2023:16:38:45 +0000] "GET / HTTP/1.0" 200 3979
91.92.241.63 - - [06/Nov/2023:17:00:30 +0000] "GET /.git/config HTTP/1.1" 404 766
91.92.241.63 - - [06/Nov/2023:17:00:31 +0000] "GET /.git/config HTTP/1.1" 404 766
91.92.241.63 - - [06/Nov/2023:17:00:35 +0000] "GET /.git/config HTTP/1.1" 404 766
91.92.241.63 - - [06/Nov/2023:17:00:36 +0000] "GET /.git/config HTTP/1.1" 404 766
66.240.205.34 - - [06/Nov/2023:17:03:22 +0000] "-" 400 2863
43.154.141.71 - - [06/Nov/2023:17:11:52 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
172.104.218.173 - - [06/Nov/2023:17:19:52 +0000] "-" 400 2169
185.254.196.173 - - [06/Nov/2023:17:45:50 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Nov/2023:17:45:50 +0000] "POST / HTTP/1.1" 200 3979
