54.80.185.234 - - [15/Oct/2023:14:38:27 +0000] "GET / HTTP/1.1" 200 3979
54.80.185.234 - - [15/Oct/2023:14:38:30 +0000] "-" 400 2185
54.80.185.234 - - [15/Oct/2023:14:38:35 +0000] "GET / HTTP/1.1" 200 3979
54.80.185.234 - - [15/Oct/2023:14:38:42 +0000] "-" 400 2187
44.208.85.154 - - [15/Oct/2023:14:46:51 +0000] "GET / HTTP/1.1" 200 3979
44.208.85.154 - - [15/Oct/2023:14:47:31 +0000] "-" 400 2065
44.208.85.154 - - [15/Oct/2023:14:47:36 +0000] "GET / HTTP/1.1" 200 3979
67.217.57.54 - - [15/Oct/2023:14:51:06 +0000] "CONNECT hosy.ru:443 HTTP/1.1" 501 724
54.243.246.120 - - [15/Oct/2023:14:57:33 +0000] "GET / HTTP/1.1" 200 3979
54.243.246.120 - - [15/Oct/2023:14:59:21 +0000] "GET / HTTP/1.1" 200 3979
54.243.246.120 - - [15/Oct/2023:14:59:31 +0000] "-" 400 2211
34.197.127.12 - - [15/Oct/2023:15:00:19 +0000] "GET / HTTP/1.1" 200 3979
34.197.127.12 - - [15/Oct/2023:15:00:22 +0000] "-" 400 2193
34.197.127.12 - - [15/Oct/2023:15:00:22 +0000] "GET / HTTP/1.1" 200 3979
34.197.127.12 - - [15/Oct/2023:15:00:23 +0000] "-" 400 2203
116.103.228.155 - - [15/Oct/2023:15:04:58 +0000] "CONNECT www.google.com:443 HTTP/1.1" 501 724
213.5.130.61 - - [15/Oct/2023:15:08:11 +0000] "GET / HTTP/1.1" 200 3979
54.80.185.234 - - [15/Oct/2023:15:18:28 +0000] "-" 400 2223
54.80.185.234 - - [15/Oct/2023:15:20:03 +0000] "GET /cdn-cgi/trace HTTP/1.1" 404 768
54.243.246.120 - - [15/Oct/2023:15:28:16 +0000] "-" 400 2203
44.208.85.154 - - [15/Oct/2023:15:29:12 +0000] "-" 400 2197
54.243.246.120 - - [15/Oct/2023:15:29:44 +0000] "GET /cdn-cgi/trace HTTP/1.1" 404 768
34.197.127.12 - - [15/Oct/2023:15:30:00 +0000] "-" 400 2105
54.243.246.120 - - [15/Oct/2023:15:30:14 +0000] "-" 400 2135
44.208.85.154 - - [15/Oct/2023:15:30:46 +0000] "GET /cdn-cgi/trace HTTP/1.1" 404 768
34.197.127.12 - - [15/Oct/2023:15:31:28 +0000] "GET /cdn-cgi/trace HTTP/1.1" 404 768
54.243.246.120 - - [15/Oct/2023:15:31:47 +0000] "GET /cdn-cgi/trace HTTP/1.1" 404 768
101.36.114.124 - - [15/Oct/2023:16:57:54 +0000] "-" 400 2199
101.36.114.124 - - [15/Oct/2023:16:58:06 +0000] "GET / HTTP/1.1" 200 3979
101.36.114.124 - - [15/Oct/2023:16:58:26 +0000] "GET /favicon.ico HTTP/1.1" 404 762
101.36.114.124 - - [15/Oct/2023:16:58:27 +0000] "GET /robots.txt HTTP/1.1" 404 761
101.36.114.124 - - [15/Oct/2023:16:58:29 +0000] "GET /sitemap.xml HTTP/1.1" 404 762
101.36.114.124 - - [15/Oct/2023:16:58:30 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
46.174.191.32 - - [15/Oct/2023:18:16:57 +0000] "GET / HTTP/1.0" 200 3979
45.33.80.243 - - [15/Oct/2023:19:41:17 +0000] "-" 400 2221
198.235.24.13 - - [15/Oct/2023:19:51:43 +0000] "GET / HTTP/1.1" 200 3979
45.79.163.53 - - [15/Oct/2023:20:04:35 +0000] "GET / HTTP/1.1" 200 3979
66.175.213.4 - - [15/Oct/2023:20:05:14 +0000] "GET / HTTP/1.1" 200 3979
167.94.138.50 - - [15/Oct/2023:21:45:03 +0000] "GET / HTTP/1.1" 200 3979
167.94.138.50 - - [15/Oct/2023:21:45:04 +0000] "GET / HTTP/1.1" 200 3979
167.94.138.50 - - [15/Oct/2023:21:45:04 +0000] "GET /favicon.ico HTTP/1.1" 404 762
67.217.57.54 - - [15/Oct/2023:21:45:55 +0000] "CONNECT hosy.ru:443 HTTP/1.1" 501 724
45.128.232.125 - - [15/Oct/2023:22:02:31 +0000] "CONNECT google.com:443 HTTP/1.1" 501 724
205.210.31.144 - - [15/Oct/2023:22:22:53 +0000] "GET / HTTP/1.0" 200 3979
35.203.210.97 - - [15/Oct/2023:23:53:44 +0000] "GET / HTTP/1.1" 200 3979
