176.58.108.59 - - [16/Feb/2024:10:12:06 +0000] "GET / HTTP/1.1" 200 3979
176.58.108.59 - - [16/Feb/2024:10:12:07 +0000] "-" 400 2201
176.58.108.59 - - [16/Feb/2024:10:12:07 +0000] "-" 400 2201
176.58.108.59 - - [16/Feb/2024:10:12:08 +0000] "-" 400 2205
185.254.196.186 - - [16/Feb/2024:10:28:19 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.186 - - [16/Feb/2024:10:28:20 +0000] "POST / HTTP/1.1" 200 3979
135.125.246.110 - - [16/Feb/2024:10:43:14 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [16/Feb/2024:10:43:14 +0000] "POST / HTTP/1.1" 200 3979
101.36.118.148 - - [16/Feb/2024:10:53:51 +0000] "GET / HTTP/1.1" 200 3979
101.36.118.148 - - [16/Feb/2024:10:53:51 +0000] "-" 400 2169
101.36.118.148 - - [16/Feb/2024:10:53:51 +0000] "t3 12.1.2 " 400 795
78.153.140.175 - - [16/Feb/2024:10:56:53 +0000] "GET /.env HTTP/1.1" 404 755
78.153.140.175 - - [16/Feb/2024:10:56:54 +0000] "-" 400 2197
162.243.135.36 - - [16/Feb/2024:11:25:54 +0000] "GET /hudson HTTP/1.1" 404 757
167.248.133.187 - - [16/Feb/2024:11:36:24 +0000] "GET / HTTP/1.1" 200 3979
167.248.133.187 - - [16/Feb/2024:11:36:34 +0000] "GET /favicon.ico HTTP/1.1" 404 762
65.49.1.91 - - [16/Feb/2024:12:17:55 +0000] "GET / HTTP/1.1" 200 3979
65.49.1.87 - - [16/Feb/2024:12:19:50 +0000] "GET /favicon.ico HTTP/1.1" 404 762
65.49.1.89 - - [16/Feb/2024:12:20:33 +0000] "GET /geoserver/web/ HTTP/1.1" 404 773
66.240.205.34 - - [16/Feb/2024:12:27:46 +0000] "-" 400 2863
135.125.246.110 - - [16/Feb/2024:12:30:51 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [16/Feb/2024:12:30:51 +0000] "POST / HTTP/1.1" 200 3979
62.16.0.33 - - [16/Feb/2024:12:40:45 +0000] "GET / HTTP/1.1" 200 3979
62.16.0.33 - - [16/Feb/2024:12:40:45 +0000] "GET / HTTP/1.1" 200 3979
62.16.0.33 - - [16/Feb/2024:12:40:46 +0000] "GET /HNAP1/ HTTP/1.1" 404 761
62.16.0.33 - - [16/Feb/2024:12:40:46 +0000] "GET /HNAP1/ HTTP/1.1" 404 761
